Post,Label Set
"तुम सब बेकार हो",1
"तुम्हारी बातें बेहद निराशाजनक हैं",1
"आप लोगों को इस तरह से बात नहीं करनी चाहिए",1
"तुमसे मुझे नफरत है",1
"तुम अपने जैसे लोगों के साथ रहो",1
"तुम सब अंधे हो",1
"तुम्हारे बिना दुनिया बेहतर होगी",1
"तुम बहुत बुरे इंसान हो",1
"तुम्हारी सोच बहुत ही घटिया है",1
"तुम्हें शर्म आनी चाहिए",1
"तुम हमेशा बुरा ही सोचते हो",1
"तुम्हारी बातें सुनकर मुझे घिन आती है",1
"तुम बहुत नकारात्मक हो",1
"तुमने सब कुछ खराब कर दिया है",1
"तुम्हारे विचार सही नहीं हैं",1
"तुम्हारी हर बात में नफरत है",1
"तुम्हारी बातें हमें बांटती हैं",1
"तुमसे कोई बात नहीं करना चाहता",1
"तुम्हारी सोच ने लोगों को दुखी किया है",1
"तुम्हारे शब्दों में जहर है",1
"तुम क्या समझते हो अपने आप को",1
"आप बहुत अच्छे इंसान हैं",0
"मुझे आपसे कोई समस्या नहीं है",0
"आपकी बातें सकारात्मक हैं",0
"मैं तुमसे सहमत हूँ",0
"आपकी सोच बहुत बढ़िया है",0
"आपका दृष्टिकोण समझदारी भरा है",0
"आपके विचारों से मैं सहमत हूँ",0
"आपकी बातें प्रेरणादायक हैं",0
"आपकी मदद से मैं आगे बढ़ा",0
"तुम्हारी बातें मुझे खुशी देती हैं",0
"आपका दृष्टिकोण प्रेरणादायक है",0
"मैं तुमसे कुछ सीखना चाहता हूँ",0
"आपकी सलाह ने मुझे बेहतर बनाया",0
"आपका दृष्टिकोण बहुत ही प्रोत्साहक है",0
"आपकी बातें दिल को छू जाती हैं",0
"आपका योगदान बहुत महत्वपूर्ण है",0
"आपका काम सराहनीय है",0
"आप बहुत समझदार हो",0
"तुम्हारे साथ रहकर मुझे अच्छा लगता है",0
"आपकी सोच एकदम सही है",0
"तुम मुझे प्रेरित करते हो",0
"तुम्हारी मेहनत देखकर खुशी होती है",0
"यहाँ सब लोग अच्छे हैं",0
"आपका दृष्टिकोण सकारात्मक है",0
"तुम्हारे विचार सही हैं",0
"आपका व्यवहार बहुत अच्छा है",0
"तुमने मुझे गलत तरीके से समझा",1
"तुम्हारी बातें बहुत घिनौनी हैं",1
"तुम्हें अपनी बातें सोचकर बोलनी चाहिए",1
"तुम हमेशा गंदगी फैलाते हो",1
"तुम्हारी सोच में कोई गहराई नहीं है",1
"तुम्हारा व्यवहार असामान्य है",1
"तुम्हारे विचार किसी के लिए भी सहायक नहीं हैं",1
"तुम्हारे बिना कोई परेशानी नहीं होगी",1
"तुम हमेशा नकारात्मक बातें करते हो",1
"तुमने सबको निराश किया है",1
"तुम्हारा दृष्टिकोण घृणास्पद है",1
"तुम्हें किसी से भी दोस्ती नहीं करनी चाहिए",1
"तुम्हारा व्यवहार हमेशा असभ्य होता है",1
"तुम्हारे शब्दों में कोई सच्चाई नहीं है",1
"तुम हमेशा गंदगी की बात करते हो",1
"तुम्हारी बातें दूसरों को दुख पहुंचाती हैं",1
"तुम्हारी सोच में कोई तर्क नहीं है",1
"तुम्हारी बातें सुनकर मुझे घुटन होती है",1
"तुम्हें खुद पर शर्म आनी चाहिए",1
"तुमसे ज्यादा बुरा कोई नहीं",1
"तुम्हारी बातें सुनकर मैं थक गया हूँ",1
"तुम्हारी सोच बहुत ही पतली है",1
"आपके विचार अच्छे हैं",0
"आपका दृष्टिकोण हमेशा सकारात्मक है",0
"आपकी बातें सुनकर मुझे अच्छा लगता है",0
"आप बहुत अच्छे नेता हैं",0
"आपकी सोच बहुत सकारात्मक है",0
"आपके विचारों में हमेशा एक विशेषता होती है",0
"आपकी सलाह हमेशा सही होती है",0
"आपकी सोच में गहराई है",0
"आपके शब्दों में शक्ति है",0
"आपकी बातों में नकारात्मकता नहीं है",0
"आपके विचारों में सकारात्मकता है",0
"आपकी सलाह हमेशा उपयोगी होती है",0
"आपका दृष्टिकोण खुला और सकारात्मक है",0
"आपके विचारों से मैं सहमत हूँ",0
"आपकी सोच दूसरों को प्रेरित करती है",0
"आपका दृष्टिकोण हमेशा स्पष्ट होता है",0
"आपकी बातें मुझे आगे बढ़ने में मदद करती हैं",0
"आपका दृष्टिकोण बहुत ही स्पष्ट है",0
"आपकी सोच में गहराई है",0
"आपके विचार लोगों को जोड़ते हैं",0